Subject,Location,Description,startDate,endDate,startTime,endTime
Anton Jonathan @ N-JOY CHECK-IN,N-JOY CHECK-IN,Anton Jonathan @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,19:00:00,20:00:00
Sitze @ N-JOY CHECK-IN,N-JOY CHECK-IN,Sitze @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,20:00:00,21:00:00
Christian Lidsba @ N-JOY CHECK-IN,N-JOY CHECK-IN,Christian Lidsba @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,21:00:00,22:00:00
2Elements @ N-JOY CHECK-IN,N-JOY CHECK-IN,2Elements @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-10,2024-07-10,22:00:00,23:00:00
Noel Holler @ N-JOY CHECK-IN,N-JOY CHECK-IN,Noel Holler @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-10,2024-07-11,23:00:00,00:00:00
Noisetime @ N-JOY CHECK-IN,N-JOY CHECK-IN,Noisetime @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,00:00:00,01:00:00
TNT @ N-JOY CHECK-IN,N-JOY CHECK-IN,TNT @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,01:00:00,02:00:00
Malice @ N-JOY CHECK-IN,N-JOY CHECK-IN,Malice @ N-JOY CHECK-IN (Airbeat-Day: Wednesday),2024-07-11,2024-07-11,02:00:00,03:00:00
