id,artistId,title,displayDate,stageTitle,startTimestamp,endTimestamp,ticketUrl,showInTimetable,stageId,dayId,sortOrder,stageName,dayName,dayOrder,startTime,endTime,startDate,endDate
35181,23468,Morten Heuer,Wed 10 Jul 02:00 - 03:00,VIP VILLAGE,1720656000,1720659600,,,14240,10361,30,VIP VILLAGE,Wednesday,1,02:00:00,03:00:00,2024-07-11,2024-07-11
35182,23469,OPIX,Wed 10 Jul 03:00 - 04:00,VIP VILLAGE,1720659600,1720663200,,,14240,10361,31,VIP VILLAGE,Wednesday,1,03:00:00,04:00:00,2024-07-11,2024-07-11
35183,23471,Jumpsox,Thu 11 Jul 10:00 - 11:00,VIP VILLAGE,1720684800,1720688400,,,14240,10362,32,VIP VILLAGE,Thursday,2,10:00:00,11:00:00,2024-07-11,2024-07-11
35184,23472,GebZøund,Thu 11 Jul 11:00 - 12:00,VIP VILLAGE,1720688400,1720692000,,,14240,10362,33,VIP VILLAGE,Thursday,2,11:00:00,12:00:00,2024-07-11,2024-07-11
35185,23473,ROMMYS b2b Romano Meinert,Thu 11 Jul 12:00 - 13:00,VIP VILLAGE,1720692000,1720695600,,,14240,10362,34,VIP VILLAGE,Thursday,2,12:00:00,13:00:00,2024-07-11,2024-07-11
35186,23474,Aganman b2b PEHCKU,Thu 11 Jul 13:00 - 14:00,VIP VILLAGE,1720695600,1720699200,,,14240,10362,35,VIP VILLAGE,Thursday,2,13:00:00,14:00:00,2024-07-11,2024-07-11
35187,23477,stahli,Thu 11 Jul 14:00 - 15:00,VIP VILLAGE,1720699200,1720702800,,,14240,10362,36,VIP VILLAGE,Thursday,2,14:00:00,15:00:00,2024-07-11,2024-07-11
36485,24264,Kim Noble,Thu 11 Jul 14:00 - 15:00,ALLIANZ STAGE,1720699200,1720702800,,,16406,10362,37,ALLIANZ STAGE,Thursday,2,14:00:00,15:00:00,2024-07-11,2024-07-11
35188,23478,MaceR b2b MIESO,Thu 11 Jul 15:00 - 16:00,VIP VILLAGE,1720702800,1720706400,,,14240,10362,38,VIP VILLAGE,Thursday,2,15:00:00,16:00:00,2024-07-11,2024-07-11
35151,23446,NO.MADS,Thu 11 Jul 16:00 - 17:00,MAINSTAGE,1720706400,1720710000,,,14228,10362,39,MAINSTAGE,Thursday,2,16:00:00,17:00:00,2024-07-11,2024-07-11
35189,23479,GIAN,Thu 11 Jul 16:00 - 17:00,VIP VILLAGE,1720706400,1720710000,,,14240,10362,40,VIP VILLAGE,Thursday,2,16:00:00,17:00:00,2024-07-11,2024-07-11
36486,24265,Halbsteiv,Thu 11 Jul 16:30 - 17:30,ALLIANZ STAGE,1720708200,1720711800,,,16406,10362,41,ALLIANZ STAGE,Thursday,2,16:30:00,17:30:00,2024-07-11,2024-07-11
35190,23480,ANDATA,Thu 11 Jul 17:00 - 18:00,VIP VILLAGE,1720710000,1720713600,,,14240,10362,42,VIP VILLAGE,Thursday,2,17:00:00,18:00:00,2024-07-11,2024-07-11
32326,21123,Korolova,Thu 11 Jul 17:00 - 18:00,MAINSTAGE,1720710000,1720713600,,,14228,10362,43,MAINSTAGE,Thursday,2,17:00:00,18:00:00,2024-07-11,2024-07-11
36487,24266,Patz & Grimbard,Thu 11 Jul 17:30 - 18:30,ALLIANZ STAGE,1720711800,1720715400,,,16406,10362,44,ALLIANZ STAGE,Thursday,2,17:30:00,18:30:00,2024-07-11,2024-07-11
32221,21051,Creek,Thu 11 Jul 17:45 - 18:45,HARDER STAGE,1720712700,1720716300,,,14230,10362,45,HARDER STAGE,Thursday,2,17:45:00,18:45:00,2024-07-11,2024-07-11
32916,21500,Incognito,Thu 11 Jul 18:00 - 20:00,SECOND STAGE,1720713600,1720720800,,,14242,10362,46,SECOND STAGE,Thursday,2,18:00:00,20:00:00,2024-07-11,2024-07-11
32323,21090,Franky B,Thu 11 Jul 18:00 - 19:00,CLASSIC AREA,1720713600,1720717200,,,14238,10362,47,CLASSIC AREA,Thursday,2,18:00:00,19:00:00,2024-07-11,2024-07-11
35153,23448,Justin Pollnik,Thu 11 Jul 18:00 - 19:00,TERMINAL STAGE,1720713600,1720717200,,,14245,10362,48,TERMINAL STAGE,Thursday,2,18:00:00,19:00:00,2024-07-11,2024-07-11
32112,20856,Argy,Thu 11 Jul 18:00 - 19:00,MAINSTAGE,1720713600,1720717200,,,14228,10362,49,MAINSTAGE,Thursday,2,18:00:00,19:00:00,2024-07-11,2024-07-11
37039,24533,Belocca,Thu 11 Jul 18:00 - 19:00,ARENA STAGE,1720713600,1720717200,,,14229,10362,50,ARENA STAGE,Thursday,2,18:00:00,19:00:00,2024-07-11,2024-07-11
36488,24267,Jay#Paul ,Thu 11 Jul 18:30 - 19:30,ALLIANZ STAGE,1720715400,1720719000,,,16406,10362,51,ALLIANZ STAGE,Thursday,2,18:30:00,19:30:00,2024-07-11,2024-07-11
31396,20028,Mandy,Thu 11 Jul 18:45 - 19:45,HARDER STAGE,1720716300,1720719900,,,14230,10362,52,HARDER STAGE,Thursday,2,18:45:00,19:45:00,2024-07-11,2024-07-11
31461,20093,Ziggy X,Thu 11 Jul 19:00 - 20:00,CLASSIC AREA,1720717200,1720720800,,,14238,10362,53,CLASSIC AREA,Thursday,2,19:00:00,20:00:00,2024-07-11,2024-07-11
31819,19830,Deborah de Luca,Thu 11 Jul 19:00 - 20:30,MAINSTAGE,1720717200,1720722600,,,14228,10362,54,MAINSTAGE,Thursday,2,19:00:00,20:30:00,2024-07-11,2024-07-11
31940,20605,Justin Prince,Thu 11 Jul 19:00 - 20:00,TERMINAL STAGE,1720717200,1720720800,,,14245,10362,55,TERMINAL STAGE,Thursday,2,19:00:00,20:00:00,2024-07-11,2024-07-11
32042,20724,LEVT,Thu 11 Jul 19:00 - 20:00,ARENA STAGE,1720717200,1720720800,,,14229,10362,56,ARENA STAGE,Thursday,2,19:00:00,20:00:00,2024-07-11,2024-07-11
31405,20037,Zatox,Thu 11 Jul 19:45 - 20:45,HARDER STAGE,1720719900,1720723500,,,14230,10362,57,HARDER STAGE,Thursday,2,19:45:00,20:45:00,2024-07-11,2024-07-11
31411,20043,Housekasper,Thu 11 Jul 20:00 - 21:00,TERMINAL STAGE,1720720800,1720724400,,,14245,10362,58,TERMINAL STAGE,Thursday,2,20:00:00,21:00:00,2024-07-11,2024-07-11
31904,20547,999999999,Thu 11 Jul 20:00 - 21:15,ARENA STAGE,1720720800,1720725300,,,14229,10362,59,ARENA STAGE,Thursday,2,20:00:00,21:15:00,2024-07-11,2024-07-11
31468,20100,Dj Gollum ,Thu 11 Jul 20:00 - 21:00,CLASSIC AREA,1720720800,1720724400,,,14238,10362,60,CLASSIC AREA,Thursday,2,20:00:00,21:00:00,2024-07-11,2024-07-11
31424,20056,AType,Thu 11 Jul 20:00 - 21:00,SECOND STAGE,1720720800,1720724400,,,14242,10362,61,SECOND STAGE,Thursday,2,20:00:00,21:00:00,2024-07-11,2024-07-11
31825,19831,Kölsch,Thu 11 Jul 20:30 - 22:00,MAINSTAGE,1720722600,1720728000,,,14228,10362,62,MAINSTAGE,Thursday,2,20:30:00,22:00:00,2024-07-11,2024-07-11
31669,20300,B-Frontliner,Thu 11 Jul 20:45 - 21:45,HARDER STAGE,1720723500,1720727100,,,14230,10362,63,HARDER STAGE,Thursday,2,20:45:00,21:45:00,2024-07-11,2024-07-11
31441,20073,Brooklyn Bounce DJ,Thu 11 Jul 21:00 - 22:00,CLASSIC AREA,1720724400,1720728000,,,14238,10362,64,CLASSIC AREA,Thursday,2,21:00:00,22:00:00,2024-07-11,2024-07-11
33084,21550,Captain Hook,Thu 11 Jul 21:00 - 22:00,SECOND STAGE,1720724400,1720728000,,,14242,10362,65,SECOND STAGE,Thursday,2,21:00:00,22:00:00,2024-07-11,2024-07-11
31742,20377,Blvck Crowz & Rewi,Thu 11 Jul 21:00 - 22:00,TERMINAL STAGE,1720724400,1720728000,,,14245,10362,66,TERMINAL STAGE,Thursday,2,21:00:00,22:00:00,2024-07-11,2024-07-11
31832,19995,Paula Temple,Thu 11 Jul 21:15 - 22:30,ARENA STAGE,1720725300,1720729800,,,14229,10362,67,ARENA STAGE,Thursday,2,21:15:00,22:30:00,2024-07-11,2024-07-11
31387,20019,D-Block & S-TE-Fan,Thu 11 Jul 21:45 - 22:45,HARDER STAGE,1720727100,1720730700,,,14230,10362,68,HARDER STAGE,Thursday,2,21:45:00,22:45:00,2024-07-11,2024-07-11
31420,20052,The Disco Boys,Thu 11 Jul 22:00 - 23:00,TERMINAL STAGE,1720728000,1720731600,,,14245,10362,69,TERMINAL STAGE,Thursday,2,22:00:00,23:00:00,2024-07-11,2024-07-11
31427,20059,Cloud 7,Thu 11 Jul 22:00 - 23:00,SECOND STAGE,1720728000,1720731600,,,14242,10362,70,SECOND STAGE,Thursday,2,22:00:00,23:00:00,2024-07-11,2024-07-11
31836,19979,Tiësto,Thu 11 Jul 22:00 - 23:30,MAINSTAGE,1720728000,1720733400,,,14228,10362,71,MAINSTAGE,Thursday,2,22:00:00,23:30:00,2024-07-11,2024-07-11
35154,23449,DERB,Thu 11 Jul 22:00 - 23:00,CLASSIC AREA,1720728000,1720731600,,,14238,10362,72,CLASSIC AREA,Thursday,2,22:00:00,23:00:00,2024-07-11,2024-07-11
31834,19996,Space 92,Thu 11 Jul 22:30 - 23:45,ARENA STAGE,1720729800,1720734300,,,14229,10362,73,ARENA STAGE,Thursday,2,22:30:00,23:45:00,2024-07-11,2024-07-11
31775,20422,Sub Zero Project B2B Phuture Noize,Thu 11 Jul 22:45 - 23:45,HARDER STAGE,1720730700,1720734300,,,14230,10362,74,HARDER STAGE,Thursday,2,22:45:00,23:45:00,2024-07-11,2024-07-11
31419,20051,Pretty Pink,Thu 11 Jul 23:00 - 00:00,TERMINAL STAGE,1720731600,1720735200,,,14245,10362,75,TERMINAL STAGE,Thursday,2,23:00:00,00:00:00,2024-07-11,2024-07-12
31469,20101,Dune,Thu 11 Jul 23:00 - 00:00,CLASSIC AREA,1720731600,1720735200,,,14238,10362,76,CLASSIC AREA,Thursday,2,23:00:00,00:00:00,2024-07-11,2024-07-12
32217,21048,Astrix,Thu 11 Jul 23:00 - 00:30,SECOND STAGE,1720731600,1720737000,,,14242,10362,77,SECOND STAGE,Thursday,2,23:00:00,00:30:00,2024-07-11,2024-07-12
31839,19842,Will Sparks,Thu 11 Jul 23:30 - 00:30,MAINSTAGE,1720733400,1720737000,,,14228,10362,78,MAINSTAGE,Thursday,2,23:30:00,00:30:00,2024-07-11,2024-07-12
31761,20409,Umek b2b Heerhorst,Thu 11 Jul 23:45 - 01:00,ARENA STAGE,1720734300,1720738800,,,14229,10362,79,ARENA STAGE,Thursday,2,23:45:00,01:00:00,2024-07-11,2024-07-12
36707,24413,Opening Show,Thu 11 Jul 23:45 - 00:00,HARDER STAGE,1720734300,1720735200,,,14230,10362,80,HARDER STAGE,Thursday,2,23:45:00,00:00:00,2024-07-11,2024-07-12
31821,20454,Gestört aber Geil,Thu 11 Jul 00:00 - 01:15,TERMINAL STAGE,1720735200,1720739700,,,14245,10362,81,TERMINAL STAGE,Thursday,2,00:00:00,01:15:00,2024-07-12,2024-07-12
